"id","studentId","stats","avatar","weekChlId","knowledgeLvl","weekChlScore","weekChlWinner"
40,3217,"{""c"":[0,0.14,0,0,0],""m"":[[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0]],""t"":[[0,0,0,0],[11.204999999999998,6.75,13,10],[0,0,0,0],[0,0,0,0],[0,0,0,0]],""g"":[[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0]],""d"":20464}","w63060003",157,4,"0.00",0
41,3291,"{""c"":[0,0.14,0,0,0,1],""m"":[[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0]],""t"":[[0,0,0,0],[3.32,2,42,10],[0,0,0,0],[0,0,0,0],[0,0,0,0],[0.36,1.75,13,5]],""g"":[[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0]],""d"":20465}","w63060003",157,4,"0.00",0
42,3290,"{""c"":[0,0.14,0,0,0],""m"":[[0,0,0,0],[4.42,13,2,15],[0,0,0,0],[0,0,0,0],[0,0,0,0]],""t"":[[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0]],""g"":[[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0]],""d"":20464}","h81475923",157,4,"0.00",0
43,3287,"{""c"":[0,0.14,0,0,0],""m"":[[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0]],""t"":[[0,0,0,0],[2.91,1.75,151,15],[0,0,0,0],[0,0,0,0],[0,0,0,0]],""g"":[[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0]],""d"":20464}","w63060003",157,4,"0.00",0
44,3289,"{""c"":[0,0.14,0,0,0],""m"":[[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0]],""t"":[[0,0,0,0],[5.81,3.5,32,10],[0,0,0,0],[0,0,0,0],[0,0,0,0]],""g"":[[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0]],""d"":20464}","w63060003",157,4,"0.00",0
45,3286,"{""c"":[0,0.14,0,0,0],""m"":[[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0]],""t"":[[0,0,0,0],[8.299999999999999,5,20,10],[0,0,0,0],[0,0,0,0],[0,0,0,0]],""g"":[[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0]],""d"":20464}","w63060003",157,4,"0.00",0
46,3284,"{""c"":[0,0.14,0,0,0],""m"":[[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0]],""t"":[[0,0,0,0],[8.299999999999999,5,22,10],[0,0,0,0],[0,0,0,0],[0,0,0,0]],""g"":[[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0]],""d"":20464}","w63060003",157,4,"0.00",0
47,3292,"{""c"":[0,0.14,0,0,0],""m"":[[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0]],""t"":[[0,0,0,0],[3.32,2,49,10],[0,0,0,0],[0,0,0,0],[0,0,0,0]],""g"":[[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0]],""d"":20464}","w63060003",157,4,"0.00",0
48,3294,"{""c"":[0,0,0,0,0],""m"":[[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0]],""t"":[[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0]],""g"":[[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0]],""d"":20464}","w63060003",157,4,"0.00",0
49,3283,"{""c"":[0,0.14,0,0,0],""m"":[[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0]],""t"":[[0,0,0,0],[1.66,1,64,10],[0,0,0,0],[0,0,0,0],[0,0,0,0]],""g"":[[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0]],""d"":20464}","w63060003",157,4,"0.00",0
